name,type,period_name,period_start,period_end,lived_name
abelisaurus,large theropod,Late Cretaceous,74.0,70.0,Argentina
achelousaurus,ceratopsian,Late Cretaceous,83.0,70.0,USA
achillobator,large theropod,Late Cretaceous,99.0,84.0,Mongolia
acrocanthosaurus,large theropod,Early Cretaceous,115.0,105.0,USA
aegyptosaurus,sauropod,Late Cretaceous,98.0,93.0,Egypt
afrovenator,large theropod,Early Cretaceous,132.0,121.0,Niger
agilisaurus,euornithopod,Late Jurassic,169.0,159.0,China
alamosaurus,sauropod,Late Cretaceous,70.0,65.0,USA
albertaceratops,ceratopsian,Late Cretaceous,80.0,75.0,USA
albertosaurus,large theropod,Late Cretaceous,76.0,74.0,Canada
alectrosaurus,large theropod,Late Cretaceous,90.0,70.0,Mongolia
alioramus,large theropod,Late Cretaceous,71.0,65.0,Mongolia
allosaurus,large theropod,Late Jurassic,156.0,144.0,USA
alvarezsaurus,small theropod,Late Cretaceous,89.0,85.0,Argentina
amargasaurus,sauropod,Early Cretaceous,132.0,127.0,Argentina
ammosaurus,sauropod,Early Jurassic,195.0,180.0,USA
ampelosaurus,sauropod,Late Cretaceous,71.0,65.0,France
amygdalodon,sauropod,Mid Jurassic,177.0,169.0,Argentina
anchiceratops,ceratopsian,Late Cretaceous,74.0,70.0,Canada
anchisaurus,sauropod,Early Jurassic,190.0,190.0,USA
ankylosaurus,armoured dinosaur,Late Cretaceous,74.0,67.0,USA
anserimimus,large theropod,Late Cretaceous,84.0,65.0,Mongolia
antarctosaurus,sauropod,Late Cretaceous,84.0,65.0,Uruguay
apatosaurus,sauropod,Late Jurassic,154.0,145.0,USA
aragosaurus,sauropod,Early Cretaceous,132.0,121.0,Spain
aralosaurus,euornithopod,Late Cretaceous,94.0,84.0,Kazakhstan
archaeoceratops,ceratopsian,Early Cretaceous,121.0,99.0,China
archaeopteryx,small theropod,Late Jurassic,147.0,147.0,Germany
archaeornithomimus,small theropod,Late Cretaceous,95.0,70.0,Uzbekistan
argentinosaurus,sauropod,Late Cretaceous,90.0,90.0,Argentina
arrhinoceratops,ceratopsian,Late Cretaceous,72.0,67.0,Canada
atlascopcosaurus,euornithopod,Early Cretaceous,121.0,97.0,Australia
aucasaurus,large theropod,Late Cretaceous,84.0,71.0,Argentina
austrosaurus,sauropod,Early Cretaceous,112.0,99.0,Australia
avaceratops,ceratopsian,Late Cretaceous,80.0,75.0,USA
avimimus,small theropod,Late Cretaceous,80.0,75.0,Mongolia
bactrosaurus,euornithopod,Late Cretaceous,84.0,71.0,China
bagaceratops,ceratopsian,Late Cretaceous,85.0,80.0,Mongolia
bambiraptor,small theropod,Late Cretaceous,84.0,71.0,USA
barapasaurus,sauropod,Early Jurassic,185.0,170.0,India
barosaurus,sauropod,Late Jurassic,155.0,145.0,USA
baryonyx,large theropod,Early Cretaceous,125.0,125.0,United Kingdom
becklespinax,large theropod,Early Cretaceous,142.0,132.0,United Kingdom
beipiaosaurus,small theropod,Early Cretaceous,127.0,121.0,China
bellusaurus,sauropod,Mid Jurassic,180.0,159.0,China
borogovia,small theropod,Late Cretaceous,84.0,65.0,Mongolia
brachiosaurus,sauropod,Late Jurassic,155.0,140.0,USA
brachylophosaurus,euornithopod,Late Cretaceous,89.0,88.0,USA
brachytrachelopan,sauropod,Mid Jurassic,150.0,150.0,Argentina
buitreraptor,small theropod,Late Cretaceous,99.0,90.0,Argentina
camarasaurus,sauropod,Late Jurassic,150.0,140.0,USA
camptosaurus,euornithopod,Late Jurassic,155.0,145.0,USA
carcharodontosaurus,large theropod,Late Cretaceous,98.0,94.0,North Africa
carnotaurus,large theropod,Late Cretaceous,70.0,70.0,Argentina
caudipteryx,small theropod,Early Cretaceous,125.0,122.0,China
cedarpelta,armoured dinosaur,Early Cretaceous,142.0,127.0,USA
centrosaurus,ceratopsian,Late Cretaceous,76.0,74.0,Canada
ceratosaurus,large theropod,Late Jurassic,153.0,148.0,USA
cetiosauriscus,sauropod,Mid Jurassic,175.0,160.0,United Kingdom
cetiosaurus,sauropod,Mid Jurassic,170.0,160.0,United Kingdom
chaoyangsaurus,ceratopsian,Late Jurassic,152.0,145.0,China
chasmosaurus,ceratopsian,Late Cretaceous,76.0,74.0,Canada
chindesaurus,small theropod,Late Triassic,227.0,210.0,USA
chinshakiangosaurus,sauropod,Late Jurassic,159.0,142.0,China
chirostenotes,small theropod,Late Jurassic,79.0,67.0,Canada
chubutisaurus,sauropod,Early Cretaceous,112.0,99.0,Argentina
chungkingosaurus,armoured dinosaur,Late Jurassic,159.0,142.0,China
citipati,small theropod,Late Cretaceous,81.0,75.0,Mongolia
coelophysis,small theropod,Late Triassic,225.0,190.0,Zimbabwe
coelurus,small theropod,Late Jurassic,155.0,145.0,USA
coloradisaurus,sauropod,Late Triassic,221.0,210.0,Argentina
compsognathus,small theropod,Late Jurassic,145.0,140.0,Germany
conchoraptor,small theropod,Late Cretaceous,81.0,76.0,Mongolia
confuciusornis,small theropod,Early Cretaceous,127.0,121.0,China
corythosaurus,euornithopod,Late Cretaceous,76.0,74.0,USA
cryolophosaurus,large theropod,Early Jurassic,170.0,170.0,Antarctica
dacentrurus,armoured dinosaur,Late Jurassic,154.0,150.0,United Kingdom
daspletosaurus,large theropod,Late Cretaceous,76.0,74.0,Canada
datousaurus,sauropod,Mid Jurassic,170.0,170.0,China
deinocheirus,large theropod,Late Cretaceous,70.0,66.0,Mongolia
deinonychus,small theropod,Early Cretaceous,120.0,110.0,USA
deltadromeus,large theropod,Late Cretaceous,99.0,94.0,Morocco
dicraeosaurus,sauropod,Late Jurassic,150.0,135.0,Tanzania
dilophosaurus,large theropod,Early Jurassic,190.0,190.0,USA
diplodocus,sauropod,Late Jurassic,155.0,145.0,USA
dromaeosaurus,small theropod,Late Cretaceous,76.0,74.0,USA
dromiceiomimus,large theropod,Late Cretaceous,74.0,70.0,Canada
dryosaurus,euornithopod,Late Jurassic,155.0,140.0,USA
dryptosaurus,large theropod,Late Cretaceous,84.0,65.0,USA
dubreuillosaurus,large theropod,Late Jurassic,169.0,164.0,France
edmontonia,armoured dinosaur,Late Cretaceous,76.0,74.0,Canada
edmontosaurus,euornithopod,Late Cretaceous,76.0,65.0,Canada
einiosaurus,ceratopsian,Late Cretaceous,74.0,74.0,USA
elaphrosaurus,large theropod,Late Jurassic,154.0,151.0,Tanzania
emausaurus,armoured dinosaur,Mid Jurassic,190.0,180.0,Germany
eolambia,euornithopod,Late Cretaceous,99.0,94.0,USA
eoraptor,small theropod,Late Triassic,228.0,228.0,Argentina
eotyrannus,large theropod,Early Cretaceous,127.0,121.0,United Kingdom
equijubus,euornithopod,Early Cretaceous,127.0,99.0,China
erketu,sauropod,Early Cretaceous,,,Mongolia
erlikosaurus,small theropod,Late Cretaceous,99.0,89.0,Mongolia
euhelopus,sauropod,Late Jurassic,154.0,142.0,China
euoplocephalus,armoured dinosaur,Late Cretaceous,76.0,70.0,USA
europasaurus,sauropod,Late Jurassic,154.0,151.0,Germany
eustreptospondylus,large theropod,Mid Jurassic,165.0,165.0,United Kingdom
fukuiraptor,large theropod,Early Cretaceous,121.0,99.0,Japan
fukuisaurus,euornithopod,Early Cretaceous,121.0,99.0,Japan
gallimimus,large theropod,Late Cretaceous,74.0,70.0,Mongolia
gargoyleosaurus,armoured dinosaur,Late Jurassic,154.0,142.0,USA
garudimimus,large theropod,Late Cretaceous,99.0,89.0,Mongolia
gasosaurus,small theropod,Mid Jurassic,170.0,160.0,China
gasparinisaura,euornithopod,Late Cretaceous,86.0,71.0,Argentina
gastonia,armoured dinosaur,Early Cretaceous,142.0,127.0,USA
giganotosaurus,large theropod,Early Cretaceous,112.0,90.0,Argentina
gilmoreosaurus,euornithopod,Late Cretaceous,76.0,70.0,China
giraffatitan,sauropod,Late Jurassic,154.0,142.0,Tanzania
gobisaurus,armoured dinosaur,Early Cretaceous,121.0,99.0,China
gorgosaurus,large theropod,Late Cretaceous,80.0,73.0,USA
goyocephale,large theropod,Late Cretaceous,81.0,75.0,Mongolia
graciliceratops,ceratopsian,Late Cretaceous,99.0,84.0,Mongolia
gryposaurus,euornithopod,Late Cretaceous,86.0,71.0,USA
guaibasaurus,small theropod,Late Triassic,221.0,210.0,Brazil
guanlong,small theropod,Late Jurassic,159.0,154.0,China
hadrosaurus,euornithopod,Late Cretaceous,78.0,74.0,USA
haplocanthosaurus,sauropod,Late Jurassic,154.0,142.0,USA
harpymimus,small theropod,Early Cretaceous,121.0,99.0,Mongolia
herrerasaurus,small theropod,Late Triassic,228.0,228.0,Argentina
hesperosaurus,armoured dinosaur,Late Jurassic,154.0,142.0,USA
heterodontosaurus,euornithopod,Early Jurassic,205.0,205.0,South Africa
heyuannia,small theropod,Late Cretaceous,72.0,68.0,Mongolia
homalocephale,euornithopod,Late Cretaceous,72.0,68.0,Mongolia
huayangosaurus,armoured dinosaur,Mid Jurassic,170.0,160.0,China
hylaeosaurus,armoured dinosaur,Early Cretaceous,150.0,135.0,United Kingdom
hypacrosaurus,euornithopod,Late Cretaceous,70.0,70.0,USA
hypsilophodon,euornithopod,Early Cretaceous,125.0,125.0,United Kingdom
iguanodon,euornithopod,Early Cretaceous,140.0,110.0,United Kingdom
indosuchus,large theropod,Late Cretaceous,71.0,65.0,India
irritator,large theropod,Early Cretaceous,112.0,99.0,Brazil
isisaurus,sauropod,Late Cretaceous,71.0,65.0,India
janenschia,sauropod,Late Jurassic,154.0,151.0,Tanzania
jaxartosaurus,euornithopod,Late Cretaceous,94.0,84.0,Kazakhstan
jingshanosaurus,sauropod,Early Jurassic,205.0,190.0,China
jinzhousaurus,euornithopod,Early Cretaceous,127.0,121.0,China
jobaria,sauropod,Early Cretaceous,132.0,94.0,Niger
juravenator,small theropod,Late Jurassic,154.0,151.0,Germany
kentrosaurus,armoured dinosaur,Late Jurassic,155.0,150.0,Tanzania
khaan,small theropod,Late Cretaceous,81.0,75.0,Mongolia
kotasaurus,sauropod,Early Jurassic,205.0,180.0,India
kritosaurus,euornithopod,Late Cretaceous,78.0,74.0,USA
lambeosaurus,euornithopod,Late Cretaceous,76.0,74.0,Canada
lapparentosaurus,sauropod,Mid Jurassic,169.0,164.0,Madagascar
leaellynasaura,euornithopod,Early Cretaceous,115.0,110.0,Australia
leptoceratops,ceratopsian,Late Cretaceous,67.0,65.0,USA
liaoceratops,ceratopsian,Early Cretaceous,127.0,121.0,China
ligabuesaurus,sauropod,Early Cretaceous,121.0,99.0,Argentina
liliensternus,small theropod,Late Triassic,205.0,202.0,Germany
lophorhothon,euornithopod,Late Cretaceous,84.0,71.0,USA
lophostropheus,large theropod,Early Jurassic,203.0,196.0,France
lufengosaurus,sauropod,Early Jurassic,200.0,195.0,China
lurdusaurus,euornithopod,Early Cretaceous,121.0,112.0,Niger
lycorhinus,euornithopod,Late Triassic,205.0,195.0,South Africa
magyarosaurus,sauropod,Late Cretaceous,71.0,65.0,Romania
maiasaura,euornithopod,Late Cretaceous,80.0,75.0,USA
majungasaurus,large theropod,Late Cretaceous,84.0,71.0,Madagascar
malawisaurus,sauropod,Early Cretaceous,121.0,112.0,Malawi
mamenchisaurus,sauropod,Late Jurassic,155.0,145.0,China
mapusaurus,large theropod,Late Cretaceous,99.0,94.0,Argentina
marshosaurus,large theropod,Late Jurassic,154.0,142.0,USA
masiakasaurus,small theropod,Late Cretaceous,84.0,71.0,Madagascar
massospondylus,sauropod,Early Jurassic,208.0,204.0,Zimbabwe
maxakalisaurus,sauropod,Late Cretaceous,80.0,80.0,Brazil
megalosaurus,large theropod,Mid Jurassic,170.0,155.0,United Kingdom
melanorosaurus,sauropod,Late Triassic,227.0,221.0,South Africa
metriacanthosaurus,large theropod,Late Jurassic,159.0,154.0,United Kingdom
microceratus,ceratopsian,Late Cretaceous,86.0,66.0,Mongolia
micropachycephalosaurus,ceratopsian,Late Cretaceous,84.0,71.0,China
microraptor,small theropod,Early Cretaceous,125.0,122.0,China
minmi,armoured dinosaur,Early Cretaceous,121.0,112.0,Australia
monolophosaurus,large theropod,Mid Jurassic,180.0,159.0,China
mononykus,small theropod,Late Cretaceous,81.0,68.0,Mongolia
mussaurus,sauropod,Late Triassic,221.0,210.0,Argentina
muttaburrasaurus,euornithopod,Early Cretaceous,110.0,100.0,Australia
nanshiungosaurus,large theropod,Late Cretaceous,84.0,71.0,China
nedoceratops,ceratopsian,Late Cretaceous,67.0,65.0,USA
nemegtosaurus,sauropod,Late Cretaceous,72.0,68.0,Mongolia
neovenator,large theropod,Early Cretaceous,127.0,121.0,United Kingdom
neuquenosaurus,sauropod,Late Cretaceous,71.0,65.0,Argentina
nigersaurus,sauropod,Early Cretaceous,121.0,99.0,Tunisia
nipponosaurus,euornithopod,Late Cretaceous,89.0,84.0,Russia
noasaurus,small theropod,Late Cretaceous,84.0,65.0,Argentina
nodosaurus,armoured dinosaur,Early Cretaceous,110.0,100.0,USA
nomingia,small theropod,Late Cretaceous,72.0,68.0,Mongolia
nothronychus,large theropod,Late Cretaceous,94.0,89.0,USA
nqwebasaurus,small theropod,Mid Jurassic,159.0,132.0,South Africa
omeisaurus,sauropod,Mid Jurassic,169.0,159.0,China
opisthocoelicaudia,sauropod,Late Cretaceous,72.0,68.0,Mongolia
ornitholestes,small theropod,Late Jurassic,150.0,144.0,USA
ornithomimus,large theropod,Late Cretaceous,74.0,65.0,USA
orodromeus,euornithopod,Late Cretaceous,74.0,74.0,USA
oryctodromeus,euornithopod,Late Cretaceous,99.0,94.0,USA
othnielia,euornithopod,Late Jurassic,154.0,142.0,USA
ouranosaurus,euornithopod,Early Cretaceous,115.0,100.0,Niger
oviraptor,small theropod,Late Cretaceous,85.0,75.0,Mongolia
pachycephalosaurus,euornithopod,Late Cretaceous,76.0,65.0,USA
pachyrhinosaurus,ceratopsian,Late Cretaceous,76.0,74.0,Canada
panoplosaurus,armoured dinosaur,Late Cretaceous,79.0,75.0,USA
pantydraco,euornithopod,Early Jurassic,,,Wales
paralititan,sauropod,Late Cretaceous,99.0,94.0,Egypt
parasaurolophus,euornithopod,Late Cretaceous,76.0,74.0,USA
parksosaurus,euornithopod,Late Cretaceous,76.0,74.0,Canada
patagosaurus,sauropod,Mid Jurassic,164.0,159.0,Argentina
pelicanimimus,small theropod,Early Cretaceous,127.0,121.0,Spain
pelorosaurus,sauropod,Early Cretaceous,125.0,125.0,United Kingdom
pentaceratops,ceratopsian,Late Cretaceous,76.0,74.0,USA
piatnitzkysaurus,large theropod,Late Jurassic,164.0,159.0,Argentina
pinacosaurus,armoured dinosaur,Late Cretaceous,81.0,75.0,Mongolia
plateosaurus,sauropod,Late Triassic,210.0,210.0,Switzerland
podokesaurus,small theropod,Mid Jurassic,195.0,180.0,USA
poekilopleuron,large theropod,Mid Jurassic,169.0,164.0,France
polacanthus,armoured dinosaur,Early Cretaceous,125.0,125.0,United Kingdom
prenocephale,euornithopod,Late Cretaceous,80.0,65.0,Mongolia
probactrosaurus,euornithopod,Early Cretaceous,121.0,99.0,China
proceratosaurus,small theropod,Mid Jurassic,169.0,164.0,United Kingdom
procompsognathus,small theropod,Late Triassic,221.0,210.0,Germany
prosaurolophus,euornithopod,Late Cretaceous,77.0,75.0,USA
protarchaeopteryx,small theropod,Early Cretaceous,122.0,120.0,China
protoceratops,ceratopsian,Late Cretaceous,74.0,70.0,Mongolia
protohadros,euornithopod,Late Cretaceous,99.0,94.0,USA
psittacosaurus,ceratopsian,Early Cretaceous,120.0,100.0,Russia
quaesitosaurus,sauropod,Late Cretaceous,86.0,84.0,Mongolia
rebbachisaurus,sauropod,Early Cretaceous,112.0,99.0,Morocco
rhabdodon,euornithopod,Late Cretaceous,76.0,70.0,Spain
rhoetosaurus,sauropod,Mid Jurassic,177.0,169.0,Australia
rinchenia,small theropod,Late Cretaceous,72.0,68.0,Mongolia
riojasaurus,sauropod,Late Triassic,221.0,210.0,Argentina
rugops,large theropod,Late Cretaceous,95.0,95.0,Niger
saichania,armoured dinosaur,Late Cretaceous,80.0,80.0,Mongolia
saltasaurus,sauropod,Late Cretaceous,70.0,65.0,Argentina
saltopus,small theropod,Late Triassic,221.0,210.0,United Kingdom
sarcosaurus,small theropod,Early Jurassic,202.0,195.0,United Kingdom
saurolophus,euornithopod,Late Cretaceous,74.0,70.0,Mongolia
sauropelta,armoured dinosaur,Early Cretaceous,121.0,94.0,USA
saurophaganax,large theropod,Late Jurassic,154.0,142.0,USA
saurornithoides,small theropod,Late Cretaceous,85.0,80.0,Mongolia
scelidosaurus,armoured dinosaur,Early Jurassic,208.0,194.0,United Kingdom
scutellosaurus,armoured dinosaur,Early Jurassic,205.0,202.0,USA
secernosaurus,euornithopod,Late Cretaceous,71.0,65.0,Argentina
segisaurus,small theropod,Mid Jurassic,195.0,180.0,USA
segnosaurus,large theropod,Late Cretaceous,97.0,88.0,Mongolia
shamosaurus,armoured dinosaur,Early Cretaceous,121.0,99.0,Mongolia
shanag,small theropod,Early Cretaceous,126.0,142.0,Mongolia
shantungosaurus,euornithopod,Late Cretaceous,78.0,74.0,China
shunosaurus,sauropod,Mid Jurassic,170.0,160.0,China
shuvuuia,small theropod,Late Cretaceous,75.0,81.0,Mongolia
silvisaurus,armoured dinosaur,Early Cretaceous,121.0,112.0,USA
sinocalliopteryx,small theropod,Early Cretaceous,125.0,125.0,China
sinornithosaurus,small theropod,Early Cretaceous,122.0,120.0,China
sinosauropteryx,small theropod,Early Cretaceous,122.0,120.0,China
sinovenator,small theropod,Early Cretaceous,127.0,121.0,China
sinraptor,large theropod,Mid Jurassic,169.0,142.0,China
sonidosaurus,sauropod,Late Cretaceous,89.0,65.0,China
spinosaurus,large theropod,Late Cretaceous,95.0,70.0,Morocco
staurikosaurus,large theropod,Late Triassic,227.0,221.0,Brazil
stegoceras,euornithopod,Late Cretaceous,76.0,74.0,USA
stegosaurus,armoured dinosaur,Late Jurassic,155.0,145.0,USA
stenopelix,ceratopsian,Early Cretaceous,127.0,121.0,Germany
struthiomimus,small theropod,Late Cretaceous,76.0,74.0,Canada
struthiosaurus,armoured dinosaur,Late Cretaceous,83.0,75.0,Spain
styracosaurus,ceratopsian,Late Cretaceous,76.0,70.0,USA
suchomimus,large theropod,Early Cretaceous,121.0,112.0,Niger
supersaurus,sauropod,Early Cretaceous,154.0,142.0,USA
talarurus,armoured dinosaur,Late Cretaceous,99.0,89.0,Mongolia
tanius,euornithopod,Late Cretaceous,89.0,65.0,China
tarbosaurus,large theropod,Late Cretaceous,74.0,70.0,Mongolia
tarchia,armoured dinosaur,Late Cretaceous,75.0,68.0,Mongolia
telmatosaurus,euornithopod,Late Cretaceous,84.0,65.0,Spain
tenontosaurus,euornithopod,Early Cretaceous,120.0,110.0,USA
thecodontosaurus,sauropod,Late Triassic,227.0,205.0,United Kingdom
therizinosaurus,large theropod,Late Cretaceous,85.0,70.0,Mongolia
thescelosaurus,euornithopod,Late Cretaceous,76.0,67.0,USA
torosaurus,ceratopsian,Late Cretaceous,70.0,65.0,USA
torvosaurus,large theropod,Late Jurassic,155.0,144.0,USA
triceratops,ceratopsian,Late Cretaceous,68.0,66.0,USA
troodon,small theropod,Late Cretaceous,74.0,65.0,USA
tsagantegia,armoured dinosaur,Late Cretaceous,99.0,84.0,Mongolia
tsintaosaurus,euornithopod,Late Cretaceous,84.0,71.0,China
tuojiangosaurus,armoured dinosaur,Late Jurassic,157.0,154.0,China
tylocephale,euornithopod,Late Cretaceous,75.0,72.0,Mongolia
tyrannosaurus,large theropod,Late Cretaceous,68.0,66.0,USA
udanoceratops,ceratopsian,Late Cretaceous,81.0,75.0,Mongolia
unenlagia,small theropod,Late Cretaceous,94.0,86.0,Argentina
urbacodon,small theropod,Late Cretaceous,95.0,95.0,Uzbekistan
utahraptor,large theropod,Early Cretaceous,112.0,100.0,USA
valdosaurus,euornithopod,Early Cretaceous,142.0,121.0,United Kingdom
velociraptor,small theropod,Late Cretaceous,74.0,70.0,Mongolia
vulcanodon,sauropod,Early Jurassic,205.0,202.0,Zimbabwe
yandusaurus,euornithopod,Mid Jurassic,169.0,159.0,China
yangchuanosaurus,large theropod,Late Jurassic,160.0,144.0,China
yimenosaurus,sauropod,Early Jurassic,195.0,190.0,China
yingshanosaurus,armoured dinosaur,Late Jurassic,159.0,142.0,China
yinlong,ceratopsian,Mid Jurassic,159.0,154.0,China
yuanmousaurus,sauropod,Mid Jurassic,180.0,159.0,China
yunnanosaurus,sauropod,Early Jurassic,205.0,190.0,China
zalmoxes,euornithopod,Late Cretaceous,69.0,69.0,Romania
zephyrosaurus,euornithopod,Early Cretaceous,120.0,110.0,USA
zuniceratops,ceratopsian,Late Cretaceous,94.0,89.0,USA
